	Nutlin-3	Nilotinib	RAF265	PHA-665752	PD-0325901	PLX4720	PD-0332991	LBW242	AEW541	TAE684	TKI258	AZD0530	lapatinib	Crizotinib	Sorafenib	L-685458	AZD6244	Vandetanib	Erlotinib	17-AAG	Irinotecan	paclitaxel	Panobinostat	Topotecan
A549	0.903089987	0.780957385	-0.002248311	0.903089987	-0.765626202	0.903089987	0.903089987	0.903089987	0.291099419	0.214249924	0.582885993	0.903089987	0.626057551	0.762090269	0.830913921	0.903089987	0.326765478	0.903089987	0.903089987	-1.175472353	-0.384681116	-2.301048323	-1.312972863	-0.02762018
ACHN	0.903089987	0.889710952	-0.498057306	0.903089987	0.903089987	0.903089987	0.866551168	0.903089987	0.884960062	0.471357791	0.707557093	0.640774946	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.288657618	0.698717284	-0.168603204	-0.155195519	-1.021539889	-1.339772455	-0.991004238
AMO-1	0.73706534	0.347614056	0.376908801	0.623882596	-0.130835618	0.903089987	0.903089987	0.903089987	-0.711058182	-0.414249388	0.4354916	0.903089987	-0.591002968	0.684947239	0.839393426	0.588850339	0.903089987	0.587082385	0.903089987	-1.594458567	-0.891464823	-2.191494914	-1.876030985	-1.189022258
AsPC-1	0.903089987	0.903089987	-0.028534174	0.903089987	-0.859534807	0.903089987	0.903089987	0.903089987	0.154659709	0.087837535	0.686615103	0.903089987	0.444923044	0.74733283	0.903089987	0.903089987	0.104342908	0.475294008	0.903089987	-1.140800383	-0.101240634	-1.786819131	-1.420998471	0.371271316
AU565	0.903089987	0.896481834	0.5179452	0.903089987	0.903089987	0.903089987	0.878768885	0.903089987	0.903089987	0.903089987	0.868654827	0.903089987	-0.737051954	0.903089987	0.903089987	0.485731064	0.903089987	0.903089987	0.903089987	-1.631739155	-0.410278718	-2.283715625	-1.489455177	-0.867333836
BFTC-909	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.859081152	0.832014709	0.903089987	0.903089987	0.903089987	0.892089694	0.903089987	0.903089987	0.903089987	0.903089987	-0.980249704	-0.270144213	-1.913124804	-1.074905538	-0.550542319
BL-41	0.903089987	0.903089987	0.850428178	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.698784	0.903089987	0.77055645	0.835090292	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.116685279	-1.318330099	-2.552285188	-1.385265696	-0.83120076
BL-70	0.903089987	0.903089987	0.714435435	0.810599065	0.903089987	0.903089987	0.656012773	0.903089987	0.903089987	0.903089987	0.542876752	0.227639706	0.903089987	0.608411298	0.903089987	0.903089987	0.903089987	0.314222982	0.903089987	-0.546085766	-1.336683515	-2.007773983	-1.894557877	-1.235155987
BT-20	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.882318141	0.903089987	0.848509219	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.563845411	0.903089987	0.903089987	-0.570063247	-2.594719566	-1.243515434	0.042084099
BT-474	0.903089987	0.838379354	0.903089987	0.835604003	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.490485116	-0.934856531	0.903089987	0.810430843	0.650121779	0.903089987	0.903089987	0.903089987	-1.349432823	-0.444317939	-1.781028266	-1.719916935	0.903089987
BT-549	0.903089987	0.903089987	0.06291265	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.736017902	0.732048331	0.59226616	0.903089987	0.903089987	0.879022404	0.806769586	0.903089987	0.903089987	0.613261502	0.903089987	-1.6904287	-0.903920582	-2.287691893	-0.940053663	-1.100757778
BxPC-3	0.903089987	0.87278339	0.42763522	0.903089987	-0.597856892	0.477222095	0.903089987	0.903089987	0.450916186	0.716903902	0.835363818	0.442816956	0.662737654	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.727378245	-0.398904003	-1.987846083	-0.957106116	-0.425164045
C2BBe1	0.903089987	0.833849392	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.491092216	0.194101839	0.903089987	-0.006444704	0.612714441	0.903089987	0.903089987	0.903089987	0.903089987	0.163686306	0.903089987	-0.109546728	-0.446939679	0.903089987	-1.264077137	0.643223417
C32	0.903089987	0.903089987	0.903089987	0.903089987	-1.04806594	0.343797926	0.903089987	0.903089987	0.803086912	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.133590948	0.903089987	0.903089987	-2.175643277	0.213996389	-1.000304356	-0.223803547	-0.556620093
C3A	0.903089987	0.837622683	0.545331865	0.903089987	-0.162705573	0.903089987	0.903089987	0.903089987	0.504460314	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.560868309	0.903089987	-1.557084603	-0.514390819	0.903089987	-1.479294385	0.106444477
Caki-2	0.903089987	0.903089987	-0.038207909	0.903089987	0.481058214	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.858247223	0.481318422	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.431381911	0.71456887	-0.376348352	0.383380192	-1.89473135	-0.987314851	0.392820397
CAL-12T	0.903089987	0.884124005	0.442204975	0.903089987	-0.509966026	0.773491929	0.903089987	0.903089987	-0.099372615	-0.160930936	0.07414754	0.229240877	0.290405575	0.548207317	0.889997094	0.837575263	0.520820622	-0.155647087	-0.225351341	-0.735557544	-0.422537939	-2.215512445	-1.287827822	0.24702052
CAL-85-1	0.903089987	0.903089987	-0.18662303	0.903089987	-0.167789293	0.903089987	0.903089987	0.709044847	0.358155089	0.903089987	0.903089987	0.198838656	0.278650312	0.903089987	0.903089987	0.903089987	0.479183535	-0.082360187	-0.060224014	-0.756119228	-0.581024625	-1.785991887	-1.542874206	-0.215003788
Calu-1	0.903089987	0.903089987	0.22432393	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.840020562	0.902779762	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.985086565	0.270751202	-1.684277567	-0.811619801	0.305236427
Calu-3	0.903089987	0.903089987	0.903089987	0.903089987	0.486362105	0.903089987	0.903089987	0.903089987	0.88788221	0.757266745	0.903089987	-0.068836962	-0.305756776	0.903089987	0.903089987	0.903089987	0.903089987	0.347006913	0.508618376	0.22759299	-0.205459739	0.903089987	-1.333974886	-0.338067046
Calu-6	0.903089987	0.899789695	0.476824611	0.903089987	-0.790110758	-0.091827355	0.903089987	0.903089987	0.393827802	-0.109840279	0.801212213	0.672651601	0.903089987	0.594100851	0.903089987	0.903089987	0.563958804	0.903089987	0.892538934	-0.736418159	-0.324415513	-2.454293665	-1.119638212	-0.014423881
CAMA-1	0.903089987	0.801545764	0.788336124	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.818584902	0.903089987	0.903089987	0.903089987	-0.850641649	-0.461337132	-1.964729159	-1.528517051	0.903089987
Capan-2	0.903089987	-1.201040239	0.06506092	0.903089987	-1.108696918	0.903089987	0.903089987	0.903089987	-0.363766487	-0.173006435	0.903089987	0.042797956	0.903089987	-0.668203259	0.903089987	0.903089987	-0.297804292	0.903089987	0.903089987	-1.336056409	-0.057728848	-2.594719566	-1.164110719	0.083307539
CAS-1	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.644584404	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.008399476	-0.108706094	-1.597293956	-1.019465041	0.241816734
CCK-81	0.903089987	0.621277312	0.903089987	0.903089987	-0.142811033	0.903089987	0.866124502	0.903089987	0.367211198	0.33643255	0.903089987	-0.169750705	-0.61943633	0.903089987	0.903089987	0.903089987	0.903089987	-0.117299039	-0.164520232	-0.579590235	-0.499958744	-0.562197496	-1.418550016	-0.500332313
CHL-1	0.903089987	0.903089987	-0.573325665	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.856245756	0.505536129	0.416711219	0.782718698	-0.170057594	0.903089987	0.854991503	0.903089987	0.903089987	0.605609273	0.48426724	-0.780363629	-0.576301138	-2.145060957	-1.739277754	-0.2196205
CHP-212	0.903089987	0.841915497	0.479110155	0.903089987	-2.238068931	0.903089987	0.886447195	0.903089987	0.193134472	0.333770609	0.584983489	0.523242394	0.903089987	0.546772926	0.903089987	0.903089987	-1.937555997	0.903089987	0.903089987	-1.52588846	-0.501856315	-2.115012332	-1.88499756	-0.164079915
CMK-86	0.903089987	0.903089987	0.903089987	0.654918644	0.903089987	0.903089987	0.872261888	0.903089987	0.56662742	-0.093461647	0.484961093	0.903089987	0.903089987	0.51971983	0.747179367	0.903089987	0.903089987	0.903089987	0.903089987	-0.49143249	-0.897455851	-1.814893009	-1.908835004	-1.314834222
COLO-678	0.903089987	0.903089987	0.843783323	0.903089987	-0.642476201	0.903089987	0.903089987	0.903089987	0.894960708	0.647533228	0.903089987	0.903089987	0.903089987	0.903089987	0.89241885	0.903089987	0.903089987	0.903089987	0.903089987	-1.394032089	0.325004187	0.903089987	-0.825416565	0.445999266
COLO-679	0.843976782	0.866753439	-0.17758309	0.862530336	-1.902770533	-0.256360669	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.908884215	0.903089987	0.903089987	-1.203032531	-0.23734679	-2.052926951	-1.529084116	0.013743381
COR-L23	0.903089987	0.903089987	0.809017918	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.881857797	0.903089987	0.903089987	0.903089987	0.903089987	0.667881444	0.903089987	0.903089987	0.903089987	0.903089987	-0.215390722	-0.308191887	-1.495452874	-0.905781936	0.013182992
COV318	0.903089987	0.885747306	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.669989645	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.090205922	0.903089987	-0.801178844	0.318566161
COV504	0.903089987	0.903089987	0.256560824	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.875346868	0.316384559	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.45912219	-0.439954968	-1.716934757	-0.974859104	0.293894789
Daoy	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.320647669	-0.722207804	-1.960772926	-1.428470582	-1.042335061
DBTRG-05MG	0.903089987	0.903089987	-0.542923434	0.903089987	0.903089987	0.423722984	0.903089987	0.903089987	0.903089987	0.577682188	0.903089987	0.903089987	0.903089987	0.903089987	0.704708349	0.903089987	-0.481812093	0.903089987	0.903089987	-0.559081925	-1.07035554	-1.662328176	-0.854491123	-0.437606465
DEL	0.903089987	0.796882357	-0.408940188	0.295402557	0.903089987	0.903089987	0.319606911	0.903089987	0.734663567	-2.016620424	0.631928482	0.583619847	0.838646223	-0.687168856	0.634223496	-0.676238995	0.903089987	0.903089987	0.903089987	-1.454136045	-1.942539607	-2.602059991	-1.770807443	-1.723939863
DK-MG	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.494948369	-0.23285685	-1.702317406	-1.031000114	0.273960216
DOHH-2	0.414249395	0.903089987	0.057718264	0.423516192	0.903089987	0.903089987	0.607265649	0.903089987	0.086596737	-0.114197353	-0.075549471	0.903089987	0.232137512	0.903089987	-1.176849382	-0.204887981	0.903089987	0.584269034	0.903089987	-0.387549889	-1.024108423	-2.594719566	-1.84276001	-0.586221753
DV-90	0.903089987	0.660984375	0.567862034	0.903089987	-1.183531574	0.903089987	0.867378347	-1.114080409	0.903089987	0.120436727	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.017052488	0.736451542	0.903089987	-0.917430463	-0.488120453	-2.119809152	-1.367892977	-0.698183549
EB2	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.244552058	-1.175655558	-1.739451174	-0.535791544	-0.841621708
EBC-1	0.903089987	0.903089987	0.903089987	-0.566620743	-1.337777662	0.903089987	0.903089987	0.903089987	0.713001074	0.351069907	0.903089987	0.678809418	0.804301131	-1.40756865	0.903089987	0.903089987	-0.131676212	0.610926496	0.903089987	-1.727015451	-0.90657587	-2.602059991	-1.351621115	-1.030272924
EFE-184	0.903089987	0.903089987	0.801845986	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.457467651	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.411860997	-0.040929894	0.903089987	-0.839300025	0.36065022
EFM-19	0.903089987	0.903089987	0.341936562	0.871950571	0.903089987	0.903089987	0.903089987	-0.484107125	0.903089987	0.903089987	0.903089987	0.728572458	0.903089987	0.883859279	0.903089987	0.903089987	0.903089987	0.638913594	0.903089987	-1.235796465	-0.035132347	-2.041038267	-1.549679177	0.110167169
EFO-21	0.903089987	0.903089987	0.224830977	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.16854317	0.903089987	0.903089987	0.903089987	0.903089987	0.691785554	0.903089987	0.903089987	0.461477246	0.903089987	-0.53976113	-0.146233534	-1.518683177	-0.774225796	-0.257888441
EFO-27	0.903089987	0.903089987	-0.279644373	0.903089987	0.903089987	0.869293857	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.208652477	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.549169977	0.903089987	-0.436092046	-0.284180999	-1.684064043	-1.689941689	0.047061044
EM-2	0.903089987	-2.12273799	-0.288751022	0.81888511	-1.464843825	0.903089987	0.286469349	0.903089987	0.903089987	0.13067549	0.46721477	-0.677888744	0.903089987	-0.113863194	0.469623208	-0.453907662	-0.416070729	-0.002274983	0.903089987	-0.884933372	-1.320585096	-2.594719566	-1.79551219	-1.356524672
EN	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.679823498	-2.000401908	-1.168967596	0.903089987
ES-2	0.903089987	0.871091216	0.043812023	0.903089987	-0.880003103	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.197457645	0.903089987	0.903089987	-0.155126679	-0.573628171	-1.612825327	-1.362408994	-1.108143155
ESS-1	0.903089987	0.883065655	0.274263921	0.903089987	0.903089987	0.903089987	0.857273289	-0.998376294	0.518598988	0.428993524	0.297911057	0.903089987	0.640875046	0.903089987	0.903089987	0.902655254	0.903089987	0.903089987	0.903089987	-0.929219072	-0.4837792	-2.11952895	-1.303746106	-1.906173034
F-36P	0.903089987	0.795894994	-1.081590445	0.903089987	-0.992925631	0.903089987	0.903089987	0.835630702	-0.513475253	-0.377329074	-0.022763302	0.903089987	0.903089987	0.498444266	-0.608979712	-0.670612387	-0.932554848	0.903089987	0.903089987	-0.36109055	-0.252411136	-2.602059991	-2.398045772	0.448834672
FU-OV-1	0.903089987	0.903089987	0.584293678	0.903089987	0.487803168	0.903089987	0.903089987	0.903089987	0.118893566	0.359209194	0.903089987	0.903089987	0.903089987	0.903089987	0.708497782	0.903089987	0.903089987	0.382539576	0.903089987	-0.428032806	-0.503207745	-2.061800109	-1.388588126	0.468876006
FU97	0.903089987	0.875677314	0.187403636	0.903089987	-0.441142374	0.903089987	0.903089987	0.903089987	0.600992541	0.454805715	0.185669014	0.665980055	0.903089987	0.903089987	0.903089987	0.903089987	0.640034417	0.327265857	0.903089987	-1.201638149	-0.445147028	-1.85415503	-1.692029877	0.568995828
G-361	0.903089987	0.903089987	-0.247747721	0.755251932	-1.61838271	0.10948	0.903089987	0.903089987	0.557694245	0.694113918	0.415670459	0.839767055	0.483980359	0.627205017	0.696308867	0.903089987	-0.377782734	0.778108657	0.644491024	-1.049100027	-0.651903077	-2.240157113	-1.675444396	-0.34910847
G-401	0.725216646	0.903089987	0.130708865	0.903089987	0.45993613	0.903089987	0.903089987	0.903089987	0.149595993	0.168122864	0.392466837	0.903089987	0.903089987	0.862276841	0.568735632	0.841675094	0.903089987	0.767087249	0.903089987	-1.068140613	-1.074625337	-2.260718786	-1.885964921	-0.742075626
G-402	0.903089987	0.892853835	0.132897114	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.356126922	0.562290918	0.903089987	0.848426701	0.173766979	0.903089987	0.903089987	0.849741009	0.903089987	-1.134115489	-0.578795105	-2.505804623	-0.952456043	-1.167339768
GAMG	0.903089987	0.890104638	0.409012439	0.903089987	0.903089987	0.903089987	0.859462163	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.961976347	-0.502683375	-1.769546531	-0.856159036	0.467514986
GCIY	0.903089987	0.801078786	0.832054739	0.903089987	0.74689917	0.903089987	0.903089987	0.903089987	0.903089987	0.464766339	0.903089987	0.247607633	0.860662313	0.903089987	0.903089987	0.903089987	0.903089987	0.380077753	0.903089987	-0.100553489	-0.463942996	-1.406561248	-1.183124622	-0.117726041
GCT	0.903089987	0.903089987	-0.486955849	0.903089987	0.903089987	0.721907584	0.610766376	0.047081066	0.601452878	0.208932703	0.643163373	0.903089987	0.624689886	0.671357289	0.903089987	0.898756823	0.903089987	0.903089987	0.903089987	-0.48076466	-1.300970745	-2.53074942	-1.197074845	-1.238111475
GI-1	0.903089987	0.835324707	0.555521444	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.51867239	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.701906278	-0.469040538	-1.899234633	-1.247551716	0.253632025
GMS-10	0.903089987	0.903089987	0.718364983	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.798069915	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.610299348	0.446733138	-1.989760823	-0.687609185	0.650381992
GRANTA-519	0.903089987	-0.421123858	0.903089987	0.903089987	0.903089987	0.903089987	0.403454838	0.903089987	0.903089987	-0.038668247	0.531915391	0.903089987	0.903089987	0.635411038	0.903089987	-1.073208548	0.903089987	0.903089987	0.903089987	-1.95925114	-1.512645451	-2.594719566	-1.491836926	-1.296474123
H4	0.903089987	0.882544981	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.406577122	0.409259111	0.903089987	0.903089987	0.607417255	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.821680491	-0.313211276	-1.43634968	-1.15910709	-0.2915931
HARA	0.903089987	0.827301022	0.452163774	0.903089987	0.762890854	0.903089987	0.903089987	0.903089987	0.903089987	0.520100087	0.903089987	0.903089987	0.823261638	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.672778333	-0.592615614	-2.106706286	-0.874739275	-0.448434395
HCC-15	0.903089987	0.903089987	0.752436544	0.903089987	0.903089987	0.903089987	0.903089987	0.441162389	0.903089987	0.50823808	0.886954854	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-1.414073404	-0.437324239	-2.149657632	-1.365331108	-0.133517583
HCC-44	0.903089987	0.903089987	0.496783061	0.903089987	0.534110335	0.903089987	0.895286762	0.172079096	0.820933272	0.776427418	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-1.183191365	-0.181300686	-1.938796859	-1.161995848	0.101907828
HCC-56	0.903089987	0.903089987	0.903089987	0.903089987	-1.974042649	0.903089987	0.903089987	0.903089987	0.903089987	0.794307149	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.889366809	-0.85014127	0.903089987	0.903089987	-1.133626804	0.051310847	-0.830166701	-1.262662744	0.475227317
HCC-78	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.095082812	-0.326624628	-1.278240794	-1.015975801	-0.861469554
HCC1187	0.903089987	0.903089987	0.845851481	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.191333138	0.903089987	0.903089987	0.903089987	0.185108612	-0.393045494	-2.016540337	-0.983585462	0.792372403
HCC1395	0.903089987	0.851574037	0.291815583	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.490572458	-1.94714964	-0.268009176	0.903089987
HCC1569	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.696468993	-0.140596092	0.903089987	-0.60028536	0.666813994
HCC1806	0.903089987	0.876207017	0.035585996	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.85774017	0.419379831	0.7205933	-0.099639472	0.641331797	0.689537261	0.903089987	0.903089987	0.903089987	0.428019462	0.333643837	-1.170795644	-0.49937169	-2.523337458	-1.26006753	-1.157786105
HCC1954	0.903089987	0.699771398	0.608531383	0.903089987	0.903089987	0.903089987	0.39951198	0.903089987	0.862396912	0.889149794	0.903089987	0.287897057	0.163706301	0.903089987	0.903089987	0.903089987	0.903089987	0.440815506	0.745878445	-1.315841609	-0.486626859	-1.999954923	-1.037684995	0.372418817
HCC2935	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.592499672	0.903089987	0.027593498	0.093394925	0.903089987	0.903089987	0.903089987	0.903089987	-0.710686031	-0.55164316	-1.738250328	0.140702828	0.903089987	-0.93331541	0.320160635
HCC4006	0.903089987	0.871817145	0.395202146	0.903089987	0.500452415	0.903089987	0.903089987	0.903089987	0.903089987	0.534664077	0.903089987	-0.011048078	0.268316092	0.903089987	0.903089987	0.903089987	0.903089987	-0.3574679	-0.90569521	-1.352234892	-0.242343766	-2.351905429	-1.096834919	0.571290849
HCC70	0.903089987	0.903089987	0.834189627	0.903089987	0.098091703	0.903089987	0.903089987	0.903089987	0.903089987	0.7849076	0.903089987	0.903089987	0.867073667	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-1.185366267	-1.122680444	-2.304477435	-1.17279709	-1.167239697
HCC827	0.903089987	0.891244099	0.626184657	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.628941715	-1.441802542	0.903089987	-0.372652342	-0.429300662	0.903089987	0.903089987	0.903089987	0.903089987	-0.498384217	-1.409850323	-0.724222599	-0.374256468	-1.949384598	-0.960288449	0.563551845
HCT-15	0.903089987	0.812660572	-0.222028936	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.665633106	0.733842955	0.631508186	0.719632587	0.669022253	0.903089987	0.855018193	0.903089987	0.903089987	0.903089987	0.903089987	-0.227372836	-0.580604291	-0.546259199	-0.649201115	-0.395215493
HD-MY-Z	0.903089987	0.878242892	-0.00800495	0.903089987	-1.656577304	0.785734208	0.857817155	0.903089987	0.606883515	0.446579716	0.428953497	0.903089987	0.845871504	0.631788397	0.899544057	0.902644126	-0.505075764	0.903089987	0.658714716	-0.818524861	-0.673575205	-2.602059991	-1.120025206	-1.549052055
