	Nutlin-3	Nilotinib	RAF265	PHA-665752	PD-0325901	PLX4720	PD-0332991	LBW242	AEW541	TAE684	TKI258	AZD0530	Lapatinib	crizotinib	Sorafenib	L-685458	AZD6244	vandetanib	Erlotinib	17-AGG	Irinotecan	paclitaxel	Panobinostat	Topotecan
AZD0530	0.622710623	0.535836177	0.652777778	0.444099379	0.370242215	0.506493506	0.535714286	0.349090909	0.646209386	0.673684211	0.436363636	1	0.665594855	0.651408451	0.597269625	0.359861592	0.529968454	0.741007194	0.747211896	0.293706294	0.602040816	0.406349206	0.46953405	0.571428571
Lapatinib	0.565972222	0.590277778	0.640677966	0.530744337	0.427561837	0.65034965	0.542253521	0.368231047	0.633802817	0.644067797	0.434163701	0.665594855	1	0.65625	0.676056338	0.411971831	0.580128205	0.684931507	0.689045936	0.340425532	0.580858086	0.422712934	0.498207885	0.566666667
PF2341066	0.614457831	0.543396226	0.647727273	0.467128028	0.392156863	0.560885609	0.556	0.392405063	0.721991701	0.645283019	0.450819672	0.651408451	0.65625	1	0.66796875	0.408	0.489932886	0.646840149	0.63740458	0.316	0.557971014	0.395833333	0.487903226	0.525362319
Sorafenib	0.616935484	0.64516129	0.682170543	0.560885609	0.487394958	0.604562738	0.583673469	0.462222222	0.598455598	0.593406593	0.515021459	0.597269625	0.676056338	0.66796875	1	0.4625	0.559859155	0.625	0.646153846	0.383966245	0.612781955	0.452898551	0.546218487	0.609195402
L-685458	0.537735849	0.429184549	0.365019011	0.438016529	0.55	0.38247012	0.435779817	0.727891156	0.406639004	0.353383459	0.455497382	0.359861592	0.411971831	0.408	0.4625	1	0.393939394	0.369402985	0.37890625	0.621794872	0.493670886	0.638190955	0.47979798	0.480686695
AZD6244	0.416949153	0.720647773	0.555172414	0.577060932	0.552301255	0.662878788	0.588235294	0.418032787	0.496527778	0.472312704	0.561181435	0.529968454	0.580128205	0.489932886	0.559859155	0.393939394	1	0.566552901	0.518771331	0.32183908	0.481727575	0.361563518	0.590909091	0.501718213
ZD-6474	0.544444444	0.588014981	0.724137931	0.407051282	0.41221374	0.505154639	0.578125	0.358267717	0.706349206	0.645985401	0.464285714	0.741007194	0.684931507	0.646840149	0.625	0.369402985	0.566552901	1	0.881355932	0.307984791	0.63003663	0.394648829	0.505882353	0.602941176
Erlotinib	0.555984556	0.583011583	0.73015873	0.416666667	0.424	0.519713262	0.572580645	0.356557377	0.719008264	0.642857143	0.454918033	0.747211896	0.689045936	0.63740458	0.646153846	0.37890625	0.518771331	0.881355932	1	0.32	0.632575758	0.404181185	0.52892562	0.635658915
17-AGG	0.409302326	0.336206897	0.287356322	0.342975207	0.497076023	0.333333333	0.342592593	0.509803922	0.316666667	0.271698113	0.363636364	0.293706294	0.340425532	0.316	0.383966245	0.621794872	0.32183908	0.307984791	0.32	1	0.5	0.538071066	0.398963731	0.418502203
Irinotecan	0.536121673	0.53358209	0.589090909	0.521428571	0.463114754	0.4604811	0.545454545	0.456140351	0.61003861	0.526132404	0.502109705	0.602040816	0.580858086	0.557971014	0.612781955	0.493670886	0.481727575	0.63003663	0.632575758	0.5	1	0.536121673	0.599137931	0.896860987
paclitaxel	0.534693878	0.387681159	0.349834983	0.401408451	0.516129032	0.373702422	0.385496183	0.497536946	0.414545455	0.348684211	0.383966245	0.406349206	0.422712934	0.395833333	0.452898551	0.638190955	0.361563518	0.394648829	0.404181185	0.538071066	0.536121673	1	0.423236515	0.536964981
Panobinostat	0.441176471	0.650943396	0.553719008	0.6367713	0.6	0.617777778	0.594202899	0.557471264	0.527896996	0.428030303	0.612021858	0.46953405	0.498207885	0.487903226	0.546218487	0.47979798	0.590909091	0.505882353	0.52892562	0.398963731	0.599137931	0.423236515	1	0.623318386
Topotecan	0.525096525	0.546153846	0.573529412	0.516363636	0.480851064	0.485714286	0.528	0.454954955	0.587548638	0.474226804	0.515283843	0.571428571	0.566666667	0.525362319	0.609195402	0.480686695	0.501718213	0.602941176	0.635658915	0.418502203	0.896860987	0.536964981	0.623318386	1
