	AICAR	AKT inhibitor VIII	AS601245	AZD6482	AZD7762	AZD8055	BIBW2992	BMS-708163	Axitinib	BAY 61-3606	BMS-754807	BX-795	Bexarotene	Bicalutamide	Bleomycin	Bosutinib	Bryostatin 1	CCT018159	CCT007093	CHIR-99021	CI-1040	Cisplatin	Cytarabine	DMOG	LAQ824	NVP-BEZ235	Docetaxel	BIRB 0796	Doxorubicin	EHT 1864	Elesclomol	embelin	Epothilone B	etoposide	FH535	FTI-277	GSK-1904529A	GSK-650394	GW 441756	Gefitinib	Gemcitabine	IPA-3	JNK Inhibitor VIII	JNK-9L	KU-55933	LFM-A13	lenalidomide	CEP-701	OSI-906	MK-2206	Methotrexate	Midostaurin	Mitomycin-C	AMG-706	NSC-87877	NU-7441	ABT-263	Nilotinib	Nutlin-3	OSU-03012	Obatoclax Mesylate	AZD-2281	pac-1	PD-0325901	PD173074	PF-4708671	PF-562271	PLX4720	PD-0332991	Pazopanib	GDC-0449	AP-24534	QS11	RO-3306	RDEA119	AG-014699	SB 216763	SB590885	SL 0101-1	Camptothecin	GDC-0941	AZD6244	JNJ-26854165	shikonin	TW 37	17-AAG	temsirolimus	thapsigargin	Tipifarnib	ATRA	VX-702	ABT-888	Vinblastine	Vinorelbine	AUY922	Vorinostat	681640	ZM-447439
A253	3.457738445	1.01659826	0.910602612	2.301955489	-0.253751317	0.27774739	0.77748701	1.993605367	1.605828167	2.124722346	1.531925144	1.763311164	2.467076686	1.939464914	0.455639621	1.152282714	-1.803322714	1.567222428	2.471500409	2.043278233	1.495612914	1.448871102	0.223603463	2.365599003	-0.648103735	-0.490125209	-2.029783835	2.704723061	-1.336156917	2.278024823	-1.76898609	0.889125447	-1.986592814	-1.73456	0.772837888	1.806878283	1.351007617	1.911412531	1.174700126	1.190542321	-0.990230071	2.714309677	2.629682186	-0.583165419	2.454449574	2.003781321	2.708328139	0.76119011	2.341429212	1.62365031	0.574478226	0.690467859	-0.461371874	1.856219782	2.653909738	1.726277136	1.332462374	2.369549345	2.901585709	0.366704797	-0.240143134	2.712278482	2.017766472	-0.247636016	2.238973498	2.494742113	1.251029987	2.886630779	1.56670084	1.056564644	2.292902884	0.696974459	1.390567936	2.177091746	0.550352299	2.743861679	2.926833853	2.696041514	3.038176535	-1.483167337	1.969927632	2.733743052	0.838147961	-2.125354678	-0.662033731	-0.520959683	-0.377841845	-2.762399974	1.01968262	2.557403858	2.248599201	2.70040183	-1.790661727	-2.912746643	-1.296540575	0.466913472	2.155458235	1.708955301
A2780	3.849092495	1.307652868	1.087793023	0.736856868	-0.149285688	0.236051645	1.294214059	1.57390318	0.113574956	0.183407337	-0.063855186	0.96286561	1.748322793	2.085710107	-0.657210456	1.913747732	-0.677998396	0.574603303	1.912360161	2.285312719	0.396271566	0.683747152	-0.577529145	3.307674502	-1.216661225	-0.972775341	-2.383608761	2.524532109	-1.162502966	0.804930079	-2.230019649	1.121421748	-2.679804546	0.043469838	0.739939647	0.546010223	1.676562578	2.009658194	1.968104464	1.223960847	-3.568289843	1.452873994	2.437474305	-0.185081976	2.772836504	2.350906821	1.89312135	-0.763096663	1.240897029	2.110550448	-1.263308361	-0.323280561	-0.972125637	1.808238928	2.270019473	2.088885234	1.707817883	2.009252997	2.261293194	0.831669156	-1.682247927	1.715150511	0.881946993	0.942726072	1.042606854	1.140007815	0.491838935	2.310992986	1.693927409	1.045177009	2.907965929	-0.464657746	1.122912681	2.706722552	1.22573798	0.288001951	2.916030778	2.681635097	2.423544744	-2.478746179	0.640165701	2.618391398	1.035126132	0.408655039	-0.660633566	-0.882549794	-1.44184552	-3.706875384	0.519145635	1.37401567	0.811652089	2.346668975	-2.399005369	-2.195069366	-1.76575103	0.608489999	1.921739619	2.305071381
A375	3.209804937	1.667821967	1.574905966	1.681516594	-0.812534141	-0.466076152	1.443183147	2.001235921	0.638486284	0.103199226	-1.175327248	0.024811244	1.01892521	1.859716721	-1.148146493	-0.440372433	-0.345855622	0.48891179	2.512965109	1.738826944	-0.978843304	0.120676973	-1.122183066	2.245320712	-1.473470844	-1.753129998	-2.767109029	1.928729155	-2.037716658	2.494638317	-2.694844164	0.552967621	-4.301259063	-0.200079034	0.553897879	1.676091369	1.776801219	0.720566204	1.314084769	0.766078094	-5.002217306	2.562243636	1.941149977	-0.205595442	1.264278141	2.281822729	1.834637084	-1.112356719	-0.322235648	0.705282947	1.196091735	-0.251016999	-0.855677823	1.070320488	2.830492571	0.747509834	1.551234311	1.153378873	0.257363779	0.338292384	-2.456551125	0.896496293	-0.061053553	-2.807233062	1.668741369	2.57441387	1.577086124	-0.693335071	-0.129147887	1.61846136	1.07280943	0.488809731	0.83691413	1.033669942	-1.105917435	1.313793792	1.682532824	0.145401793	2.388855038	-3.06351979	-0.16430142	2.109001754	0.991351854	-0.507087014	-1.05143997	-0.656089542	-2.667227812	-4.04956413	-0.210081704	1.978482799	2.200489361	1.708419816	-2.67709064	-1.417809492	-1.663417787	-0.034617613	0.854080054	0.135625824
A4-Fuk	2.447516497	0.269115353	1.784508643	0.771916027	-1.034622784	-1.003879947	1.142873724	2.468257098	0.274947059	0.257174426	-2.244087315	0.597535789	1.578228753	1.851619301	1.402915362	-0.196684154	-0.539043271	1.642997261	2.156213039	2.657540439	1.078681525	0.932879313	-0.077696586	1.65356408	-2.289447637	-1.672568372	-1.611645976	2.142897135	-0.789203841	2.625378327	-0.776312678	1.694588405	-2.962749573	-0.075188535	2.177494337	1.826745519	1.703430206	1.174294061	1.7861759	1.511763023	-3.203217993	0.974905122	3.101913593	-0.01211421	1.923488089	1.769205843	1.126930339	-1.319743192	-1.551841455	-0.506864221	-1.686900958	-0.251440002	-0.646997587	2.232958954	3.20451523	2.192883127	1.833642549	0.661517789	1.571807709	1.317538713	-1.048329118	2.472259122	0.77933363	-0.508032908	-0.130826001	2.59368091	0.610512074	1.141233828	1.043430276	2.647507368	1.836141045	-0.279611816	1.602944886	1.447829229	-0.008589911	2.65466845	3.018172497	2.760529902	2.807504061	-2.249972006	-0.601059654	0.22517778	0.686521425	-0.602525398	-0.629881173	1.845853607	-0.971168886	-4.285934114	-1.686322478	1.82728969	0.294817769	2.716805567	-2.673943308	-2.394123899	-1.76892138	-0.095351525	0.787286865	0.643938417
A427	3.977865152	0.4881179	2.026251718	1.666576328	-0.702638962	-0.016834557	1.578761632	2.855355062	0.042893963	0.663188954	-0.614008579	0.239521658	0.776157635	1.954433308	-3.928157977	0.539231755	-0.079336047	1.674249091	2.100020978	2.266305387	0.555767083	2.544504009	-1.462270823	2.807278228	-1.30608159	-0.738563802	-2.730059801	2.830170759	-1.927651236	2.141156918	-2.217024255	1.535448575	-3.082108028	-0.985555325	-0.638198347	1.915684686	1.946934345	0.273257654	1.446334822	1.775060132	-0.48948723	2.03037187	2.752864604	-0.543447017	1.975420154	2.602153127	2.230545145	-1.630579044	0.512816661	1.068532497	1.209091907	-0.92378649	-0.520962289	1.835330652	3.25549402	0.743244193	-0.031413388	1.130242269	0.83748045	-0.077322224	-1.06995568	1.531448723	1.060597069	-0.246756136	1.398500325	0.757826065	1.872928828	1.912077001	1.267392466	0.29683029	2.210859879	-0.56440824	1.990607432	2.761186989	0.649408356	1.460929288	2.659786176	0.726787907	2.831794152	-2.371468493	1.23637168	1.135734791	0.909659324	-1.744850174	-1.349758586	-0.376950239	-0.738321465	-2.672755512	-0.237196011	2.917317592	1.638968311	1.909066472	-1.901482387	-2.508174841	-1.88637502	-0.035814963	0.872772957	0.667036803
A498	4.198971421	2.008021338	2.395716022	2.252133867	0.237952552	0.806384531	-0.39067959	2.89836281	1.615965469	2.079070178	1.301118473	0.659329379	2.310830994	1.522937854	3.008234102	0.146479277	-0.988052953	1.889559701	2.564404685	-0.5107555	1.333069084	1.29190535	0.571649232	2.75430125	0.646466011	-1.12404923	-3.453478017	3.08956747	1.262393737	2.49792636	-1.332122756	2.551622964	-1.212528913	1.794979917	3.126520719	1.615462556	1.509752673	2.922813155	0.885764008	0.360621635	1.584886487	3.363516086	2.915118325	2.499556267	2.525574415	2.459905181	1.87466036	-0.654686337	1.576592766	0.833759415	0.971909793	1.426543588	2.576304788	2.401475636	2.407170105	2.331638043	2.260871494	2.249702309	1.838667771	2.668872051	2.977813077	2.282248772	2.035509139	-0.653921979	2.26711274	2.566288654	1.919849135	2.049343155	1.716833837	2.100314996	2.716823373	0.718607102	2.840288952	2.097925508	1.551336804	2.288910415	1.289028149	2.738141152	2.779188495	-2.150134653	0.115522332	0.943729292	1.480697504	1.622436457	0.174563798	-0.992270386	-0.355802703	0.663240201	3.134724976	2.606427453	2.224712136	2.537220456	-2.226383301	-0.263766582	0.717047116	0.506330908	1.770032305	0.374179874
A549	3.561097058	1.128207603	1.253273109	1.336262017	-0.450380315	-0.836774287	0.704507731	2.007816786	0.455784241	1.209821553	0.180234013	0.222751377	1.726720833	1.951630112	0.784647171	0.401223826	-0.947018487	0.619725631	2.573285139	1.817883383	0.352723989	1.577247682	-0.854659837	2.778091574	-0.986406946	-1.935769503	-2.856786496	2.696392424	-0.685283894	1.314167719	-2.29418579	1.421360281	-2.379174732	0.593436242	0.895254886	1.284437292	1.59838068	1.990416373	0.852803228	0.818563885	-1.088737788	2.708388179	2.840989034	-0.142989437	0.7929505	2.42052666	2.218027041	-1.269773269	1.385630955	0.394879218	1.056608508	-0.152833681	-0.773040244	1.977477842	2.980877399	0.243726932	0.671000609	2.115583487	0.570840576	1.559487068	-0.093104159	1.647246832	1.754431679	-1.64567208	2.173899247	1.339433669	1.06782855	1.699976262	0.065189339	1.753107512	2.390881022	0.705284252	1.781395491	1.164138085	-0.659960843	1.852223839	2.048742092	2.558602945	3.022736932	-1.876521312	-0.324765848	2.428531748	2.370407077	0.591131254	-1.851091199	-3.029681735	-1.768783274	-1.828028144	1.168768149	1.557388264	2.131704064	2.119787892	-1.912077436	-1.628652096	-1.19783763	0.131648121	1.813396175	1.622099879
A673	3.413733991	1.651921144	1.609897941	1.236241348	-0.062802891	1.859400989	1.618212074	2.494106306	1.434731342	1.087313997	-0.218344591	2.355786553	1.29228058	1.927022812	1.019389037	1.203131215	-0.004540115	0.959077693	2.262796287	2.426551799	0.936112636	0.336822297	-0.650094976	2.721294001	-0.980756371	1.312827486	-2.540033816	2.75343049	-0.665958885	1.840314615	-1.935375163	1.10151282	-2.605536715	0.335175018	0.476797146	2.18748615	1.988265717	1.243363821	1.942032029	0.938324932	-1.466383158	3.676824811	2.729799658	0.047886178	2.28017241	2.401709286	2.157470755	-0.144175345	1.015795684	2.208723584	0.205557224	0.068441336	-0.102595557	1.283011433	2.100257669	1.836453303	1.926387005	2.006771873	2.56148058	0.681055395	-0.123915942	1.613147332	2.394629418	0.693241264	2.338622801	2.916272246	1.473224165	1.727399353	0.772271568	2.903038424	2.442962485	0.295602539	1.630142144	2.422565844	1.350461709	0.728831262	2.916313069	2.322010603	2.477771622	-3.088891708	2.50211513	2.24062208	1.425420502	0.08653057	-1.268852999	1.744768527	-0.793929399	-2.140468126	1.186016104	1.450935303	2.308168769	2.53294309	-2.162709215	-2.138569825	-0.981659704	0.353844035	1.920062374	2.338574594
A704	3.40391025	1.606228587	1.595045504	1.274957603	-0.26856597	-0.087255407	1.266591193	2.223100469	0.785738605	2.43684067	0.370142238	1.473004412	1.074484503	1.884773342	1.027088644	0.868219813	-0.495149562	1.542395956	2.315433647	0.488720266	1.373102349	2.062295988	0.787717251	3.055256034	-1.003495596	-1.254999873	-1.757290974	2.908406304	0.360091795	2.086331148	-1.561439797	1.035654668	-1.835732374	2.94974723	0.411798028	1.210872514	1.577422268	1.246594538	2.189475653	2.002207004	-1.269398473	2.934009701	3.119145964	-0.355191216	1.297334465	1.578588783	2.765473041	-0.014468955	1.774026077	0.8215527	1.358210391	-0.388094669	0.377144368	1.739378498	3.219942673	0.644328414	-0.369876016	1.570336523	1.885792196	1.117593442	-1.038561401	2.683403979	0.985825022	0.586343151	0.632177288	1.953165257	1.746244694	1.352481178	1.556817601	0.204995247	2.788228769	0.226113251	2.929435277	1.014174463	0.671675068	1.613455138	2.179841533	2.736178141	3.260632158	-1.813759679	0.178359098	2.570476556	0.933478528	0.432113021	-0.653237632	0.221578782	0.566797728	-0.606528725	2.035165178	2.084380297	2.325124929	2.540776025	-0.921874291	0.76651456	-0.456887349	0.701620107	0.820758196	1.223308526
ABC-1	4.508957359	1.012224481	0.987904424	1.878056601	-0.583964521	1.428065356	1.536170372	2.428869629	0.595398191	1.008944689	-0.932015501	0.682300952	1.885529883	1.61325938	1.293757616	0.62668216	-0.8592221	2.85189026	2.462200862	2.463995366	1.385122317	0.557269742	0.181995446	2.65067989	-1.44775149	-0.376290111	-1.856708798	2.254502131	-1.078575557	1.453872002	-3.43732313	2.216667265	-2.775904795	-0.393048232	0.532431137	1.408079124	1.678151227	0.818424911	0.757547682	1.091349895	-1.64501977	2.619880593	2.312068299	-0.051240669	2.802036728	2.797910496	1.472718646	1.097139475	-0.044061781	0.367827449	1.325302595	-0.872406847	-1.213273728	1.491732927	3.225867753	2.20997305	1.250762896	1.927340281	1.733376548	0.503158821	-0.296743865	1.895853931	2.075753037	-0.910023263	1.902776585	1.004482313	0.352559826	2.84388187	0.251837381	2.22473081	3.020853831	1.198747446	1.170809282	1.268640629	2.216232536	2.903186084	2.915890067	2.369456406	2.684423268	-2.459943833	2.41238685	1.434527658	1.202622222	-0.150282828	-0.501000377	1.670744769	-0.49434742	-2.495959875	0.506786048	2.835802255	2.323801633	2.141099156	-1.809926162	-2.519397445	-1.057533121	0.415741856	1.598986726	0.147219749
