	AICA_Ribonucleotide	AKT_inhibitor_VIII	AS601245	AZD6482	AZD7762	AZD8055	Afatinib	Avagacestat	Axitinib	BAY-61-3606	BMS-754807	BX795	Bexarotene	Bicalutamide	Bleomycin	Bosutinib	Bryostatin_1	CCT-018159	CCT007093	CHIR-99021	CI-1040	Cisplatin	Cytarabine	DMOG	Dacinostat	Dactolisib	Docetaxel	Doramapimod	Doxorubicin	EHT-1864	Elesclomol	Embelin	Epothilone_B	Etoposide	FH535	FTI-277	GSK1904529A	GSK650394	GW441756	Gefitinib	Gemcitabine	IPA-3	JNK_Inhibitor_VIII	JNK-9L	KU-55933	LFM-A13	Lenalidomide	Lestaurtinib	Linsitinib	MK-2206	Methotrexate	Midostaurin	Mitomycin-C	Motesanib	NSC-87877	NU7441	Navitoclax	Nilotinib	Nutlin-3a	OSU-03012	Obatoclax_Mesylate	Olaparib	PAC-1	PD0325901	PD173074	PF-4708671	PF-562271	PLX-4720	Palbociclib	Pazopanib	Pictilisib	Ponatinib	QS11	RO-3306	Refametinib	Rucaparib	SB216763	SB590885	SL0101	SN-38	STF-62247	Selumetinib	Serdemetan	Shikonin	TW_37	Tanespimycin	Temsirolimus	Thapsigargin	Tipifarnib	Tretinoin	VX-702	Veliparib	Vinblastine	Vinorelbine	Vismodegib	Vorinostat	Wee1_Inhibitor	ZM447439
BMS-754807	0.4	0.552995392	0.63362069	0.46	0.47257384	0.492592593	0.535714286	0.5	0.638655462	0.618320611	1	0.632034632	0.24291498	0.37751004	0.536585366	0.434343434	0.168627451	0.394160584	0.258928571	0.650862069	0.410788382	0.01980198	0.237885463	0.135514019	0.576419214	0.628820961	0.281355932	0.526119403	0.231270358	0.476744186	0.395348837	0.153153153	0.294339623	0.232081911	0.296	0.414634146	0.569023569	0.574297189	0.662100457	0.519713262	0.247787611	0.212355212	0.492424242	0.695067265	0.272373541	0.377192982	0.46460177	0.522058824	0.67965368	0.589041096	0.67219917	0.533088235	0.29707113	0.668141593	0.424561404	0.287234043	0.394265233	0.709251101	0.390510949	0.575221239	0.511627907	0.473451327	0.419491525	0.403361345	0.546511628	0.726851852	0.68558952	0.595238095	0.688073394	0.669527897	0.661354582	0.731914894	0.370106762	0.560669456	0.359848485	0.545081967	0.569620253	0.564885496	0.210344828	0.475655431	0.57079646	0.584269663	0.606481481	0.224334601	0.317880795	0.278008299	0.240458015	0.156862745	0.605932203	0.170506912	0.596412556	0.663716814	0.46179402	0.450657895	0.496062992	0.416267943	0.462365591	0.533807829
BX795	0.4	0.541463415	0.696682464	0.542600897	0.64	0.474903475	0.531835206	0.533039648	0.65470852	0.586614173	0.632034632	1	0.288288288	0.463636364	0.555555556	0.40625	0.178723404	0.337037037	0.410810811	0.580786026	0.456621005	0.022099448	0.268292683	0.150259067	0.574074074	0.550660793	0.327137546	0.46969697	0.270462633	0.558441558	0.416243655	0.180904523	0.352941176	0.223021583	0.346666667	0.513888889	0.534482759	0.606060606	0.617924528	0.487084871	0.266990291	0.246808511	0.516260163	0.615384615	0.36	0.429268293	0.497584541	0.471910112	0.581896552	0.549763033	0.646551724	0.488721805	0.278761062	0.719806763	0.452830189	0.395918367	0.483870968	0.699074074	0.40077821	0.502242152	0.475728155	0.451162791	0.389380531	0.469483568	0.549180328	0.614678899	0.697674419	0.642241379	0.709359606	0.642857143	0.62962963	0.621848739	0.378787879	0.700483092	0.362903226	0.534482759	0.56	0.51953125	0.240601504	0.462745098	0.67839196	0.558139535	0.567307692	0.264705882	0.406716418	0.292792793	0.235772358	0.165957447	0.591111111	0.182741117	0.634146341	0.6359447	0.410774411	0.4	0.617117117	0.478494624	0.444029851	0.553030303
Bexarotene	0.129032258	0.359116022	0.24137931	0.505494505	0.402173913	0.350649351	0.298850575	0.323809524	0.340807175	0.342741935	0.24291498	0.288288288	1	0.384615385	0.219512195	0.288461538	0.489208633	0.405797101	0.404411765	0.25862069	0.422857143	0.00877193	0.158536585	0.125925926	0.370558376	0.336492891	0.559782609	0.358974359	0.568306011	0.342592593	0.451388889	0.447368421	0.369565217	0.560693642	0.331428571	0.485549133	0.320422535	0.512562814	0.365	0.285714286	0.157575758	0.592857143	0.364864865	0.28125	0.48427673	0.359756098	0.445783133	0.392241379	0.314159292	0.352631579	0.368421053	0.381355932	0.288235294	0.368421053	0.357758621	0.519553073	0.373271889	0.35	0.367924528	0.394736842	0.322033898	0.522012579	0.50617284	0.45508982	0.333333333	0.258928571	0.316964286	0.323404255	0.300469484	0.262711864	0.253846154	0.362068966	0.386792453	0.317757009	0.353535354	0.415841584	0.357487923	0.345991561	0.56626506	0.422535211	0.263157895	0.296875	0.312820513	0.686131387	0.490291262	0.409090909	0.401197605	0.446808511	0.339534884	0.509259259	0.402116402	0.331775701	0.384920635	0.383399209	0.363207547	0.413793103	0.447488584	0.349206349
Bicalutamide	0.216450216	0.484210526	0.446428571	0.483253589	0.606557377	0.364705882	0.388888889	0.481132075	0.475770925	0.351648352	0.37751004	0.463636364	0.384615385	1	0.321917808	0.354014599	0.239795918	0.3625	0.392638037	0.389830508	0.540540541	0.027210884	0.234972678	0.189873418	0.492682927	0.438914027	0.416666667	0.427419355	0.351464435	0.537735849	0.53125	0.25625	0.36492891	0.30212766	0.545977011	0.655367232	0.393220339	0.386831276	0.464454976	0.361623616	0.247252747	0.385026738	0.448717949	0.441964286	0.439153439	0.588957055	0.541899441	0.453441296	0.405063291	0.45049505	0.426229508	0.43083004	0.287878788	0.45045045	0.468619247	0.387387387	0.598086124	0.447826087	0.369747899	0.52020202	0.475409836	0.478723404	0.435897436	0.594285714	0.365079365	0.426008969	0.504545455	0.482905983	0.422727273	0.452173913	0.459677419	0.448559671	0.460176991	0.514285714	0.527638191	0.511737089	0.45412844	0.381322957	0.315555556	0.430379747	0.492537313	0.404580153	0.438423645	0.355329949	0.545045045	0.360215054	0.310679612	0.237113402	0.433628319	0.275641026	0.505	0.420353982	0.389891697	0.388489209	0.5625	0.585526316	0.440816327	0.372262774
Bleomycin	0.48627451	0.376811594	0.523465704	0.462365591	0.420289855	0.467105263	0.482758621	0.387205387	0.4778157	0.541254125	0.536585366	0.555555556	0.219512195	0.321917808	1	0.375366569	0.301526718	0.340694006	0.235741445	0.484320557	0.298305085	0.016326531	0.306451613	0.162601626	0.43772242	0.419795222	0.394039735	0.4125	0.32807571	0.437288136	0.27037037	0.17254902	0.42962963	0.286624204	0.215231788	0.40647482	0.53776435	0.505190311	0.464028777	0.441358025	0.28968254	0.19	0.432786885	0.477192982	0.302816901	0.265957447	0.340501792	0.493464052	0.486206897	0.371929825	0.592857143	0.503267974	0.342205323	0.494661922	0.373088685	0.335526316	0.402597403	0.522968198	0.376623377	0.361774744	0.393939394	0.31010453	0.303448276	0.341637011	0.47826087	0.491039427	0.494773519	0.488294314	0.522222222	0.444816054	0.533333333	0.480263158	0.320987654	0.485714286	0.322368421	0.409395973	0.397306397	0.504983389	0.296052632	0.442244224	0.490636704	0.460815047	0.407942238	0.237288136	0.365325077	0.355212355	0.362962963	0.275471698	0.440273038	0.155642023	0.435251799	0.507194245	0.47706422	0.466666667	0.429054054	0.264925373	0.387692308	0.5
Bosutinib	0.277192982	0.42578125	0.474637681	0.455555556	0.365942029	0.602230483	0.683823529	0.388111888	0.477031802	0.637681159	0.434343434	0.40625	0.288461538	0.354014599	0.375366569	1	0.220973783	0.564885496	0.183206107	0.562737643	0.415384615	0.026315789	0.221343874	0.101626016	0.513618677	0.560311284	0.371621622	0.594890511	0.380952381	0.549242424	0.322580645	0.163934426	0.306338028	0.384341637	0.348659004	0.367272727	0.558359621	0.453287197	0.513513514	0.786561265	0.220472441	0.346456693	0.598484848	0.514925373	0.375968992	0.341176471	0.359848485	0.468438538	0.540740741	0.480314961	0.486206897	0.503378378	0.270676692	0.47810219	0.544483986	0.396428571	0.413559322	0.496402878	0.549242424	0.465648855	0.46473029	0.367424242	0.446215139	0.366037736	0.623574144	0.485185185	0.468085106	0.457627119	0.483146067	0.478723404	0.463815789	0.45	0.638888889	0.479704797	0.477099237	0.451612903	0.544401544	0.604395604	0.358422939	0.616858238	0.445283019	0.469055375	0.543209877	0.315789474	0.42	0.287356322	0.288321168	0.205223881	0.513011152	0.170124481	0.432835821	0.412587413	0.602739726	0.589830508	0.511111111	0.333333333	0.551601423	0.706319703
Bryostatin_1	0.204081633	0.209183673	0.152892562	0.358974359	0.257575758	0.278481013	0.240601504	0.206278027	0.218487395	0.255813953	0.168627451	0.178723404	0.489208633	0.239795918	0.301526718	0.220973783	1	0.311627907	0.263888889	0.169421488	0.26984127	0.00952381	0.283687943	0.162601626	0.242857143	0.202643172	0.502702703	0.245967742	0.478723404	0.260089686	0.27388535	0.514563107	0.472727273	0.491428571	0.197860963	0.305263158	0.249146758	0.292035398	0.23943662	0.218045113	0.272727273	0.312883436	0.295154185	0.208695652	0.359281437	0.23699422	0.269230769	0.281632653	0.205020921	0.203883495	0.267782427	0.273092369	0.363636364	0.242152466	0.209486166	0.355670103	0.284444444	0.220338983	0.306976744	0.201877934	0.243093923	0.294444444	0.312849162	0.344827586	0.261603376	0.166666667	0.217021277	0.212851406	0.212669683	0.165322581	0.182835821	0.213438735	0.272321429	0.197368421	0.282178218	0.242152466	0.225225225	0.23015873	0.559006211	0.348623853	0.159090909	0.209737828	0.1875	0.489932886	0.354545455	0.58778626	0.666666667	0.725663717	0.197424893	0.54	0.254901961	0.205240175	0.333333333	0.326848249	0.233480176	0.264516129	0.246963563	0.263358779
CCT-018159	0.245136187	0.401746725	0.364661654	0.44813278	0.353658537	0.599173554	0.527675277	0.337121212	0.449612403	0.539622642	0.394160584	0.337037037	0.405797101	0.3625	0.340694006	0.564885496	0.311627907	1	0.237209302	0.390151515	0.35	0.021505376	0.255924171	0.096618357	0.449579832	0.422310757	0.471544715	0.610655738	0.540425532	0.420233463	0.399014778	0.224489796	0.3625	0.568181818	0.344978166	0.360655738	0.465798046	0.446153846	0.408906883	0.563218391	0.254716981	0.453658537	0.555555556	0.453815261	0.400900901	0.342342342	0.363636364	0.436823105	0.425287356	0.469026549	0.387096774	0.437275986	0.27826087	0.393822394	0.488549618	0.451882845	0.332142857	0.382899628	0.566523605	0.504424779	0.492753623	0.427927928	0.56372549	0.394736842	0.563265306	0.39453125	0.380597015	0.354385965	0.369649805	0.418250951	0.432142857	0.401433692	0.543933054	0.39453125	0.491304348	0.42687747	0.390625	0.557312253	0.529680365	0.581589958	0.37804878	0.352159468	0.45814978	0.464114833	0.521912351	0.333333333	0.349344978	0.309859155	0.390804598	0.239583333	0.404958678	0.374045802	0.582089552	0.574074074	0.373584906	0.352657005	0.513513514	0.554307116
CCT007093	0.139896373	0.292397661	0.315	0.276923077	0.447204969	0.210970464	0.221789883	0.317708333	0.343137255	0.241935484	0.258928571	0.410810811	0.404411765	0.392638037	0.235741445	0.183206107	0.263888889	0.237209302	1	0.219178082	0.325443787	0.011235955	0.153846154	0.104347826	0.296296296	0.247572816	0.27804878	0.215767635	0.27804878	0.352040816	0.426356589	0.333333333	0.351190476	0.296296296	0.324840764	0.380952381	0.219512195	0.28372093	0.326203209	0.19379845	0.152777778	0.375	0.241071429	0.241706161	0.445205479	0.356164384	0.352201258	0.262711864	0.236363636	0.267759563	0.247826087	0.264705882	0.220125786	0.292079208	0.244635193	0.444444444	0.338235294	0.276995305	0.238317757	0.276595745	0.331210191	0.339506173	0.295857988	0.345679012	0.214592275	0.229665072	0.279620853	0.3	0.305699482	0.252293578	0.303030303	0.254310345	0.233944954	0.419889503	0.259067358	0.292079208	0.299492386	0.225	0.312849162	0.263636364	0.342696629	0.237903226	0.262295082	0.373333333	0.311627907	0.254901961	0.208092486	0.269503546	0.258373206	0.314285714	0.304347826	0.306532663	0.227272727	0.226415094	0.340101523	0.374045802	0.264069264	0.225680934
CHIR-99021	0.348739496	0.555555556	0.700934579	0.452282158	0.458515284	0.552	0.571969697	0.525862069	0.5625	0.61023622	0.650862069	0.580786026	0.25862069	0.389830508	0.484320557	0.562737643	0.169421488	0.390151515	0.219178082	1	0.419213974	0.032432432	0.214611872	0.096153846	0.587155963	0.672897196	0.287234043	0.492424242	0.24742268	0.50617284	0.370192308	0.136792453	0.28627451	0.222614841	0.391891892	0.399159664	0.539249147	0.604255319	0.608294931	0.585271318	0.213636364	0.245833333	0.516	0.67281106	0.289256198	0.377880184	0.410714286	0.461538462	0.711009174	0.600961538	0.65106383	0.472527473	0.25	0.660550459	0.448148148	0.288888889	0.444015444	0.687782805	0.469879518	0.542986425	0.534653465	0.400881057	0.397379913	0.375	0.593360996	0.79	0.65625	0.668103448	0.672985782	0.654867257	0.601593625	0.640167364	0.406844106	0.570175439	0.338521401	0.508333333	0.637614679	0.632231405	0.217391304	0.457692308	0.642512077	0.581395349	0.693877551	0.232931727	0.311643836	0.252136752	0.215686275	0.142857143	0.716981132	0.183168317	0.571428571	0.633484163	0.421404682	0.410596026	0.58008658	0.384236453	0.488636364	0.518248175
CI-1040	0.235555556	0.49197861	0.377682403	0.582474227	0.616666667	0.352941176	0.458823529	0.488038278	0.488789238	0.418604651	0.410788382	0.456621005	0.422857143	0.540540541	0.298305085	0.415384615	0.26984127	0.35	0.325443787	0.419213974	1	0.034965035	0.211956522	0.149068323	0.538071066	0.40625	0.428571429	0.398406375	0.355932203	0.454954955	0.522012579	0.261146497	0.30733945	0.300429185	0.546511628	0.593406593	0.397260274	0.433476395	0.537688442	0.4296875	0.230769231	0.312820513	0.454545455	0.434977578	0.386597938	0.532934132	0.605882353	0.447154472	0.398305085	0.457286432	0.455696203	0.453441296	0.340425532	0.519047619	0.359375	0.380090498	0.576190476	0.513761468	0.416666667	0.497487437	0.467032967	0.553672316	0.420512821	0.82781457	0.364	0.4	0.484162896	0.542600897	0.448598131	0.390756303	0.354716981	0.454166667	0.535211268	0.451612903	0.497512438	0.541062802	0.57	0.369649805	0.344036697	0.429787234	0.407582938	0.573275862	0.45959596	0.389473684	0.459227468	0.404494382	0.296116505	0.247368421	0.493023256	0.264516129	0.610810811	0.514285714	0.394160584	0.392727273	0.563106796	0.64137931	0.50862069	0.434615385
