drug1,drug2,cell,score,nor,index,true_label,predict_label,predict_score,smile1,smile2
5-FU,AZD1775,LOVO,-4.001507328,0.637798,25,0,0,3.36E-06,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,MDAMB436,23.3811342,0.6919581,26,1,1,0.999969721,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,NCIH23,-7.115899185,0.6316381,29,0,1,0.99475199,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,RKO,19.33320151,0.6839517,32,1,0,0.000594113,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,RPMI7951,16.72201512,0.678787,33,1,1,0.999456227,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,SKMES1,33.3532584,0.7116819,34,1,1,0.999999523,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,UACC62,11.45935053,0.668378,37,1,1,0.998006761,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,VCAP,-0.998327533,0.643738,38,0,1,1,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,BEZ-235,A2058,13.6791116,0.6727685,39,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BEZ-235,HT29,11.89580272,0.6692413,40,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BEZ-235,MDAMB436,18.97429236,0.6832418,43,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BEZ-235,NCIH520,16.72179723,0.6787866,47,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BEZ-235,OV90,17.54707857,0.6804189,48,1,0,0.230971828,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BEZ-235,RKO,16.93600135,0.6792103,49,1,1,0.99738282,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BEZ-235,RPMI7951,12.70594985,0.6708437,50,1,1,0.709888399,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BEZ-235,SKMES1,21.2679035,0.6877783,52,1,1,0.999884248,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BEZ-235,VCAP,11.75742482,0.6689676,55,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BORTEZOMIB,A2058,-5.239878448,0.6353487,56,0,0,3.26E-10,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,A2780,-18.59912622,0.6089255,57,0,0,2.77E-35,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,A375,-2.405334783,0.6409551,58,0,0,3.21E-05,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,A427,-7.87670815,0.6301333,59,0,0,4.60E-15,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,ES2,-16.13012533,0.6138089,61,0,0,4.51E-05,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,HCT116,-4.51926945,0.636774,62,0,0,3.04E-08,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,HT144,-14.56978258,0.6168951,63,0,0,6.61E-11,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,HT29,-15.95161347,0.614162,64,0,0,1.97E-21,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,LOVO,-6.175982009,0.6334972,67,0,0,7.69E-13,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,MDAMB436,-2.025565761,0.6417062,68,0,0,2.48E-11,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,NCIH1650,-15.77870569,0.614504,70,0,0,1.70E-16,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,NCIH2122,-16.69626568,0.6126891,71,0,0,0.000511309,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,NCIH23,-9.190964586,0.6275338,72,0,0,1.64E-32,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,NCIH520,-24.06755091,0.5981095,74,0,0,3.57E-22,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,OV90,-9.586166869,0.6267522,75,0,0,2.52E-16,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,RPMI7951,-10.47941439,0.6249854,76,0,0,1.43E-23,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,SKMES1,-11.64272985,0.6226845,78,0,0,6.82E-13,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,SW837,-1.3618595,0.643019,81,0,0,4.74E-09,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,UACC62,-17.84185108,0.6104233,82,0,0,6.89E-15,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,VCAP,-7.053510631,0.6317615,83,0,0,0.000149578,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,DASATINIB,A2058,31.12564418,0.7072759,85,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,A2780,50.60366026,0.7458014,86,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,A427,28.34808451,0.7017822,87,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,ES2,17.69019535,0.680702,89,1,1,0.999991894,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,HCT116,-7.819271786,0.6302469,90,0,1,0.999251068,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,HT144,-22.97327812,0.6002738,91,0,0,1.36E-08,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,HT29,17.06698076,0.6794693,92,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,LOVO,21.38558819,0.6880111,93,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,MDAMB436,18.71869688,0.6827362,94,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,NCIH1650,23.23497071,0.691669,96,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,NCIH2122,-31.1947196,0.5840127,97,0,0,0.000195496,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,NCIH23,11.55914675,0.6685754,98,1,0,0.015688915,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,NCIH520,42.73505144,0.7302381,100,1,1,0.999997258,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,RKO,17.31163283,0.6799532,101,1,1,0.996817589,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,RPMI7951,19.06355103,0.6834183,102,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,SW837,15.87733689,0.6771163,105,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,UACC62,12.12396034,0.6696925,107,1,1,0.605077863,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,VCAP,21.45572644,0.6881498,108,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DINACICLIB,A2780,-8.161128639,0.6295707,109,0,0,4.68E-12,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
5-FU,DINACICLIB,A375,-5.415934201,0.6350004,110,0,0,1.51E-07,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
5-FU,DINACICLIB,A427,-7.747473682,0.6303889,111,0,0,3.99E-05,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
5-FU,DINACICLIB,HT144,-3.477422217,0.6388346,113,0,0,1.90E-19,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
5-FU,DINACICLIB,HT29,-2.539408744,0.6406899,114,0,0,2.19E-07,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
5-FU,DINACICLIB,LOVO,-11.87695993,0.6222212,116,0,0,1.13E-13,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
5-FU,DINACICLIB,NCIH1650,-2.113223506,0.6415329,117,0,0,6.00E-06,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
5-FU,DINACICLIB,NCIH23,-9.5337023,0.6268559,118,0,0,1.54E-10,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
5-FU,DINACICLIB,NCIH520,-4.321048546,0.637166,120,0,0,1.30E-18,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
5-FU,DINACICLIB,OV90,-5.935579062,0.6339726,121,0,0,9.48E-25,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
5-FU,DINACICLIB,RPMI7951,-5.68699024,0.6344643,122,0,0,1.13E-10,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
5-FU,DINACICLIB,SKMES1,-3.140341301,0.6395013,124,0,0,3.98E-07,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
5-FU,DINACICLIB,SW837,-19.57332293,0.6069986,127,0,0,3.25E-19,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
5-FU,DINACICLIB,VCAP,14.421994,0.6742378,129,1,0,0.000398559,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
5-FU,ERLOTINIB,A2780,16.5693311,0.678485,131,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
5-FU,ERLOTINIB,A375,13.96439243,0.6733327,132,1,1,0.999961138,O=c1[nH]cc(F)c(=O)[nH]1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
5-FU,ERLOTINIB,A427,18.42925816,0.6821638,133,1,1,0.982863903,O=c1[nH]cc(F)c(=O)[nH]1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
5-FU,ERLOTINIB,ES2,15.1231625,0.6756247,135,1,1,0.994843483,O=c1[nH]cc(F)c(=O)[nH]1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
5-FU,ERLOTINIB,HCT116,14.45297793,0.6742991,136,1,1,0.999997616,O=c1[nH]cc(F)c(=O)[nH]1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
5-FU,ERLOTINIB,HT29,11.33747162,0.6681369,137,1,1,0.999993682,O=c1[nH]cc(F)c(=O)[nH]1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
5-FU,ERLOTINIB,LOVO,12.41733168,0.6702728,140,1,1,0.999958038,O=c1[nH]cc(F)c(=O)[nH]1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
5-FU,ERLOTINIB,MDAMB436,16.1498979,0.6776554,141,1,0,0.393465579,O=c1[nH]cc(F)c(=O)[nH]1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
5-FU,ERLOTINIB,NCIH2122,24.45497683,0.694082,143,1,1,0.999999762,O=c1[nH]cc(F)c(=O)[nH]1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
5-FU,ERLOTINIB,OV90,-11.04004585,0.6238765,145,0,0,0.009530616,O=c1[nH]cc(F)c(=O)[nH]1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
5-FU,ERLOTINIB,RKO,20.98757258,0.6872239,146,1,0,7.45E-05,O=c1[nH]cc(F)c(=O)[nH]1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
5-FU,ERLOTINIB,RPMI7951,17.00484175,0.6793464,147,1,1,0.978792965,O=c1[nH]cc(F)c(=O)[nH]1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
5-FU,ERLOTINIB,SKMES1,21.28942476,0.6878209,149,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
5-FU,ERLOTINIB,SW837,17.29938762,0.679929,151,1,1,0.999694109,O=c1[nH]cc(F)c(=O)[nH]1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
5-FU,ERLOTINIB,UACC62,17.96898601,0.6812534,153,1,1,0.999999166,O=c1[nH]cc(F)c(=O)[nH]1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
5-FU,ERLOTINIB,VCAP,24.41379314,0.6940006,154,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
5-FU,GELDANAMYCIN,ES2,-5.25702499,0.6353148,157,0,0,0.023003729,O=c1[nH]cc(F)c(=O)[nH]1,COC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O
5-FU,GELDANAMYCIN,HT29,-3.946071269,0.6379077,158,0,0,1.30E-09,O=c1[nH]cc(F)c(=O)[nH]1,COC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O
5-FU,GELDANAMYCIN,LOVO,-6.353136659,0.6331468,160,0,0,6.53E-07,O=c1[nH]cc(F)c(=O)[nH]1,COC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O
5-FU,GELDANAMYCIN,NCIH1650,-6.752269383,0.6323573,161,0,0,1.63E-07,O=c1[nH]cc(F)c(=O)[nH]1,COC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O
5-FU,GELDANAMYCIN,NCIH2122,-2.692734853,0.6403867,162,0,1,0.999983788,O=c1[nH]cc(F)c(=O)[nH]1,COC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O
5-FU,GELDANAMYCIN,NCIH23,-9.33481084,0.6272493,163,0,0,1.48E-14,O=c1[nH]cc(F)c(=O)[nH]1,COC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O
5-FU,GELDANAMYCIN,RPMI7951,-8.084247184,0.6297228,165,0,0,1.28E-11,O=c1[nH]cc(F)c(=O)[nH]1,COC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O
5-FU,GELDANAMYCIN,UACC62,-1.345401011,0.6430515,171,0,0,2.07E-05,O=c1[nH]cc(F)c(=O)[nH]1,COC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O
5-FU,GELDANAMYCIN,VCAP,14.04451922,0.6734912,172,1,1,0.999577105,O=c1[nH]cc(F)c(=O)[nH]1,COC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O
5-FU,LAPATINIB,A427,-4.179454254,0.6374461,187,0,1,0.51015842,O=c1[nH]cc(F)c(=O)[nH]1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
5-FU,LAPATINIB,LOVO,17.4905864,0.6803072,191,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
5-FU,LAPATINIB,NCIH23,-8.734799525,0.6284361,193,0,0,2.37E-06,O=c1[nH]cc(F)c(=O)[nH]1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
5-FU,LAPATINIB,NCIH520,-7.263521908,0.6313461,195,0,0,0.19570823,O=c1[nH]cc(F)c(=O)[nH]1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
5-FU,LAPATINIB,OV90,-9.295070254,0.6273279,196,0,0,4.49E-12,O=c1[nH]cc(F)c(=O)[nH]1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
